,business_id,name,address,city,state,latitude,longitude,stars,review_count,attributes,categories,hours
1006,wYROX7rw9fkQrWUS2YyY9g,Will Nelson Fitness,"324 State St, Ste C",Winter Garden,FL,28.5421,-81.5967,5.0,7,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'AcceptsInsurance': 'False', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'WheelchairAccessible': 'True'}","Trainers, Health & Medical, Nutritionists, Boot Camps, Fitness & Instruction, Gyms, Active Life","{'Monday': '5:0-19:0', 'Tuesday': '5:0-19:0', 'Wednesday': '5:0-19:0', 'Thursday': '5:0-19:0', 'Friday': '5:0-19:0', 'Saturday': '6:0-13:0', 'Sunday': '6:0-13:0'}"
1017,a6Q00Q_a8pJX4kd2025zVQ,Zocalo Village,3384 E River Rd,Altamonte Springs,FL,28.6615,-81.3953,4.5,9,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'DogsAllowed': 'True', 'ByAppointmentOnly': 'False', 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True'}","Home Decor, Furniture Stores, Art Galleries, Shopping, Home & Garden, Arts & Entertainment","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0', 'Saturday': '8:30-17:0', 'Sunday': '8:30-17:0'}"
1022,EraDGJAHjf5IaA9VBGepfg,"East Falls Chiropractic: Zachary Dillow, D.C",3425 Conrad St,Los Banos,CA,37.063,-120.8406,4.5,16,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'True'}","Gastroenterologist, Chiropractors, Nutritionists, Doctors, Health & Medical","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '8:0-13:0', 'Thursday': '15:0-19:0', 'Friday': '9:0-13:0'}"
1028,HJhFyeLCGJTe4UCEniG5XQ,Dolan Mazda,9475 S Virginia St,Morgan Hill,CA,37.1325,-121.6419,3.5,90,{'BusinessAcceptsCreditCards': 'True'},"Auto Repair, Automotive, Car Dealers","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '8:30-20:0'}"
1035,qWZimITbVwNSGJZsuM47-Q,Pho Orchid Uptown,2135 St Charles Ave,Palm Springs,CA,33.8017,-116.5382,3.5,81,"{'WiFi': ""u'no'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'True', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'HappyHour': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True'}","Nightlife, Bars, Vietnamese, Restaurants, French","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-20:0'}"
1039,L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,915 Race St,Cutler Bay,FL,25.5765,-80.3356,4.0,92,"{'WiFi': ""u'free'"", 'WheelchairAccessible': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'False', 'RestaurantsTableService': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'NoiseLevel': ""'average'"", 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True'}","Ramen, Restaurants, Japanese","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
1043,b8-kNsKeDYQIilQIOoGg3A,Brillman's Rental Barn,101 Friends Ln,North Lauderdale,FL,26.2113,-80.2209,3.0,12,{'BusinessAcceptsCreditCards': 'True'},"Event Planning & Services, Party Supplies","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-15:0'}"
1054,euVGpCtxxUR3RPazHvwXBA,Econo Lodge,100 Mcintosh Plz,El Centro,CA,32.7865,-115.5595,2.0,13,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
1057,PfusNFPwZFcJGHgfZMw2RQ,Basically Buttercream Bakery & Cafe,"729 N Green St, Ste F",Lompoc,CA,34.6618,-120.4714,2.5,8,"{'RestaurantsDelivery': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Food, Bakeries, Desserts, Restaurants, American (New)","{'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0'}"
1063,fWMPbickerGWohPy2vDL5A,Ulta Beauty,"301 Marketplace Mile, Ste 120",Greenacres,FL,26.627,-80.1371,3.0,14,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Day Spas, Shopping, Skin Care, Hair Salons, Beauty & Spas, Cosmetics & Beauty Supply","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-20:0'}"
1066,XQnb4KnTqO-QdvEFYpcwAA,Domino's Pizza,1092 Westbank Expressway,Campbell,CA,37.2802,-121.9539,2.5,11,"{'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Chicken Wings, Pizza, Sandwiches","{'Monday': '10:30-0:0', 'Tuesday': '10:30-0:0', 'Wednesday': '10:30-0:0', 'Thursday': '10:30-0:0', 'Friday': '10:30-1:0', 'Saturday': '10:30-1:0', 'Sunday': '10:30-0:0'}"
1067,H2nFgEFitRk7ltE8IRH0xA,Taco Bell,4647 West Kennedy Blvd,Danville,CA,37.8121,-121.9698,2.5,42,"{'WiFi': ""'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'DriveThru': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'HasTV': 'True'}","Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos","{'Monday': '7:0-2:0', 'Tuesday': '7:0-2:0', 'Wednesday': '7:0-2:0', 'Thursday': '7:0-2:0', 'Friday': '7:0-3:0', 'Saturday': '7:0-3:0', 'Sunday': '7:0-2:0'}"
1068,z9C1eLAOYQN48tR52RDkHg,American Lawn Irrigation,822 White Horse Pike,North Miami Beach,FL,25.9302,-80.1659,1.5,6,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Home Services, Irrigation","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
1069,ehl5FH2MUjrF96m4F3011w,Rent Source,5029 Gravois Ave,Clermont,FL,28.5325,-81.7208,1.0,13,{'BusinessAcceptsCreditCards': 'True'},"Real Estate, Professional Services, Real Estate Services, Home Services","{'Monday': '9:30-18:0', 'Tuesday': '9:30-18:0', 'Wednesday': '9:30-18:0', 'Thursday': '9:30-18:0', 'Friday': '9:30-18:0', 'Saturday': '10:0-17:0'}"
1070,yTsG5uSr0OF0FuAuaa4MGA,Bridal & Formal by RJS,3806 Nolensville Pike,San Bruno,CA,37.6256,-122.4313,3.0,18,"{'RestaurantsPriceRange2': '3', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True'}","Sewing & Alterations, Bridal, Shopping, Fashion, Local Services, Women's Clothing, Formal Wear","{'Monday': '0:0-0:0', 'Tuesday': '12:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-17:0', 'Sunday': '13:0-17:0'}"
1073,1KPowSPcz_QOzoKP-PV9rQ,Cabinets To Go,45 York Rd,Ormond Beach,FL,29.2985,-81.1014,4.0,16,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'ByAppointmentOnly': 'False', 'BusinessAcceptsBitcoin': 'False'}","Kitchen & Bath, Flooring, Cabinetry, Home Services, Shopping, Home & Garden","{'Monday': '0:0-0:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-13:0', 'Saturday': '9:0-18:0'}"
1079,VJnq2lgXILRaGuXXlmRztw,Eagles Peak Spring Water,584 Rte 313,Altadena,CA,34.1927,-118.1346,2.0,18,"{'WiFi': ""u'paid'"", 'BusinessAcceptsBitcoin': 'False', 'Caters': 'False', 'OutdoorSeating': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '4', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'False', 'BusinessAcceptsCreditCards': 'True'}","Coffee & Tea, Food, Water Delivery, Local Services","{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-16:0'}"
1084,BMTtMWDR3zcR5T30GFDoXQ,CA Pro Home Inspection,"3463 State St, Ste 139",Vineyard,CA,38.474,-121.324,5.0,5,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Real Estate, Home Services, Home Inspectors, Handyman, Real Estate Services","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
1092,0AQJ-QTu7GtxaP4SoD07yA,Sno-La Snowball Lounge,2311 N Causeway Blvd,North Fort Myers,FL,26.7244,-81.8485,4.5,177,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'DogsAllowed': 'False', 'Caters': 'True', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'DriveThru': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'False'}","Ice Cream & Frozen Yogurt, Shaved Ice, Food, Desserts","{'Monday': '0:0-0:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-20:0'}"
1098,-BhSR6dAry5-2x3ndjX_9w,Meister's Barber Shop,1810 E Passyunk Ave,Coachella,CA,33.6905,-116.143,4.0,79,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'False'}","Beauty & Spas, Barbers, Hair Salons, Men's Hair Salons","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-17:0'}"
1100,5p_ElTUbq73aQAqReVPT7w,Havertown Cleaners,1300 W Chester Pike,Meadow Woods,FL,28.3698,-81.3467,2.0,5,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsPriceRange2': '3'}","Laundry Services, Dry Cleaning & Laundry, Local Services","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '8:0-17:0', 'Sunday': '10:0-15:0'}"
1107,Ea2hPSFazxXITET4f6ZJhw,Beef 'O' Brady's,18421 N US Hwy 41,Rancho Palos Verdes,CA,33.7554,-118.3634,3.0,46,"{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'WiFi': ""u'free'"", 'HasTV': 'True', 'Smoking': ""u'no'"", 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': None, 'classy': False, 'casual': True}"", 'ByAppointmentOnly': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'HappyHour': 'True', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': None, u'latenight': None, u'dessert': None}"", 'Music': ""{u'dj': False, u'live': None, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}"", 'BusinessAcceptsBitcoin': 'False', 'BestNights': ""{u'monday': True, u'tuesday': False, u'wednesday': False, u'thursday': True, u'friday': True, u'saturday': False, u'sunday': False}""}","American (Traditional), Pubs, Chicken Wings, Sports Bars, Sandwiches, Bars, Restaurants, Nightlife, Breakfast & Brunch","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
1117,QehLpDI-ZdJJLu5dobDdxg,Mundare Sausage House,4824 118 Avenue NW,French Valley,CA,33.5999,-117.1069,4.0,7,"{'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True'}","Ukrainian, Restaurants","{'Monday': '9:0-16:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '8:30-15:0', 'Saturday': '9:0-17:0'}"
1121,_HcAoG6Jj_XTj4-XNEbo6Q,Fuzzy's Taco Shop,"5621 E Fowler Ave, Units 201-207",Hallandale Beach,FL,25.9854,-80.1423,3.0,172,"{'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'WiFi': ""u'free'"", 'Caters': 'True', 'DriveThru': 'False', 'RestaurantsTableService': 'False', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'HappyHour': 'True'}","Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-22:0'}"
1145,FzelkV3vzxkRgBmVSIqALA,Edley’s,2392 S State Rt 157,Culver City,CA,34.0058,-118.3968,3.0,34,"{'OutdoorSeating': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}"", 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': None}""}","Barbeque, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
1150,MKy5T5exCdH4IUVlYPtWkw,El Taco Torro,"4240 N Franklin Rd, Ste 101",The Acreage,FL,26.774,-80.2779,3.5,14,"{'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'""}","Mexican, Restaurants","{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-21:0'}"
1163,q8ZC6BgKh19RkLmH8bJ_Ig,Luminous Electric,"3350 Ulmerton Rd, Ste 20",Plant City,FL,28.014,-82.1201,4.0,17,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Lighting Fixtures & Equipment, Electricians, Home Services","{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0'}"
1164,OpvNFc147bNQFb3HpPj3Ng,Valbona Salon,412 Main St,Aventura,FL,25.9566,-80.1371,5.0,6,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Beauty & Spas, Hair Salons, Hair Stylists","{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '9:0-15:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-15:0'}"
1175,QNxXsVPYcecUuhGRG-88OQ,Harvest Bowl Eatery & Market,6109 N Florida Ave,San Gabriel,CA,34.0949,-118.099,4.0,101,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'False', 'BYOB': 'True', 'RestaurantsTakeOut': 'True', 'Corkage': 'False', 'HasTV': 'False', 'Alcohol': ""u'none'"", 'Caters': 'True', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{u'divey': None, u'hipster': True, u'casual': None, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': None}""}","Wraps, American (New), Vegan, Breakfast & Brunch, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}"
1183,5wgoIQXyP3BEPZLiVi1W8A,The Howlin' Wolf,907 S Peters St,Royal Palm Beach,FL,26.7038,-80.2241,3.5,213,"{'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': None, 'dinner': None, 'brunch': False, 'breakfast': False}""}","Arts & Entertainment, Restaurants, Bars, Music Venues, Pubs, Nightlife, American (Traditional)","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-2:0'}"
1185,EvZxyqrR2xej3CT14pLa7w,An American Place,822 Washington Ave,Navarre,FL,30.4174,-86.8907,3.0,22,"{'GoodForKids': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsTakeOut': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""'dressy'""}","Restaurants, American (New)","{'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30'}"
1192,KDIkj7rASjiE1xUnyXALnQ,Ham's Deli,105 N Main St,La Presa,CA,32.711,-117.0027,4.0,12,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'Caters': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'quiet'""}","Event Planning & Services, Delis, Sandwiches, Restaurants, Caterers, American (Traditional)","{'Monday': '11:0-15:0', 'Tuesday': '11:0-15:0', 'Wednesday': '11:0-15:0', 'Thursday': '11:0-15:0', 'Friday': '11:0-15:0', 'Saturday': '11:0-15:0', 'Sunday': '11:0-15:0'}"
1195,1NhcrIJu3tsnIAKTZsvEeA,Andrew Rosen Orthodontics,1865 N Kolb Rd,Calexico,CA,32.6849,-115.4944,4.5,7,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Dentists, Health & Medical, Orthodontists","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-12:0'}"
1196,CCseuHAUbBsoyd8tzD1_rQ,Get Air New Port Richey,7431 SR 54,Valrico,FL,27.9193,-82.2293,4.0,16,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Trampoline Parks","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-20:0'}"
