,user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
15059,XNKPeh6mBG4-wOiVFdLf9Q,Angela,56,2010-12-05 18:16:56,47,3,17,4,4.54,1,0,0,0,0,0,3,3,3,0,0
15078,f4t6x4J2AdZ4lwYhXVFw0g,Patrick,496,2011-02-05 05:53:25,931,337,501,40,3.94,5,3,0,2,1,7,17,33,33,25,8
15079,OgLyhQefoJ35LZRhp8ugWg,Cassie,113,2007-08-23 20:47:20,287,106,199,15,4.33,30,2,1,0,0,8,8,19,19,7,0
15083,dc18czOzT4Ym715LpPs05Q,Jill,438,2007-10-24 01:09:56,918,125,286,18,4.0,3,0,1,0,0,9,8,5,5,4,4
15084,3hARA5Mc8ZJ5tr89a-wl5g,Geoff,24,2011-02-26 20:20:20,17,2,5,0,4.04,0,0,0,0,0,2,0,0,0,0,0
15101,IEcTTq4A8NvS516XOWXv_w,Lauren,35,2009-08-24 16:07:58,133,104,112,4,4.03,6,0,1,0,1,4,9,5,5,5,1
15105,GFfjPveMmlKWreATdN-OYg,Ryan,34,2008-11-25 20:41:50,30,3,5,1,4.08,0,0,0,0,0,2,0,1,1,0,0
15107,enaHB1e956thdnafcHVAig,Domenic,408,2008-06-12 13:15:51,1013,283,232,17,3.24,7,4,0,1,0,17,10,17,17,5,0
15112,Cf8Jw9yX8RrG-l4PQoMkuw,Sean,268,2010-02-17 10:16:04,220,99,105,8,3.98,7,4,1,1,0,6,12,10,10,4,0
15129,EMMKdK1cGrLSo08wgSYHJQ,Lianna,1377,2010-09-13 15:10:57,4456,1253,2423,200,3.97,87,28,8,15,3,110,290,200,200,122,126
15154,GJaPXrgiro1RDzrIiANRwA,Amber,396,2009-06-16 02:16:24,1158,225,643,48,4.15,37,7,2,2,0,39,39,68,68,45,5
15171,3EWotVSF_JaK-SBEnwuBSQ,Steven,34,2008-08-25 19:54:11,23,6,8,1,4.78,0,0,0,0,0,0,3,0,0,0,0
15210,eq2_WTzv7-6M6ex0TFHiWQ,Sid,15,2008-04-04 16:49:33,56,23,22,2,3.44,1,0,0,0,0,1,0,0,0,0,0
15218,Ay_5UL3Pn6nTPhLNl158aQ,Gina,150,2009-01-21 19:45:27,177,18,45,7,4.08,5,2,0,0,0,3,8,7,7,6,0
15224,xjLTK4saQ2Qe_6f9IxhVWg,Holly,125,2012-03-17 17:01:58,546,163,201,11,3.36,25,8,1,0,0,37,32,49,49,25,3
15228,JQTrInBEFroObt_nTJpW3Q,Matthew,60,2010-12-15 15:33:22,74,20,18,2,3.62,2,1,0,0,0,0,1,1,1,1,0
15243,6cql-n5XXGZsL_xHErUC6A,Karyn,55,2008-04-07 19:04:58,95,31,30,1,2.89,1,2,0,1,0,5,2,3,3,1,1
15253,G4KUufTDy_aKBo_9ZNHqDw,Kat,4,2012-09-25 13:44:47,4,0,0,0,5.0,0,0,0,0,0,0,2,0,0,0,1
15254,UkY3yN6Qze032p53VJn85g,Justis,6,2011-05-16 20:39:34,5,1,1,0,3.33,0,0,0,0,0,0,0,0,0,0,0
15259,P_17UhlrG6_28s--SFM2qQ,Clyde,51,2011-09-17 14:57:52,114,59,30,3,3.3,2,0,0,0,0,1,2,0,0,2,0
15260,fAoQz9WxZmVlj-3Yo2oeHA,Lauren,212,2008-12-03 06:18:04,242,66,145,7,3.99,14,1,5,0,0,7,15,24,24,17,1
15263,z44Iq74z8Y6f2sLsddqkXA,Moku,23,2008-07-01 04:25:43,24,7,3,0,3.52,1,0,0,0,0,0,1,1,1,0,0
15292,sdSQLYwregRGz2NuE4F2jw,Paulina,58,2012-12-28 02:12:45,83,10,19,1,4.05,0,0,1,0,0,4,0,1,1,0,0
15336,nKNrKEKbT8RB-JI4ooUlKw,Robert,90,2009-04-18 21:01:14,102,30,26,3,2.87,0,0,0,0,0,0,1,3,3,0,0
15345,9lcq01JUhRY2yW8AxU3TIA,Tom,429,2008-07-29 13:49:59,1056,291,509,14,3.47,13,2,2,0,1,29,28,32,32,9,1
15368,A4bsa7ykYRVCnb4h2vZALw,Angela,422,2009-08-23 05:51:22,28561,18910,27701,737,4.11,9597,278,214,117,12,3013,5249,9419,9419,1625,10346
15374,xDuLZqi_mmKb1-bea0uRVw,Lara,30,2011-05-07 19:56:47,72,30,11,0,4.0,1,0,0,0,0,3,4,1,1,1,0
15375,RlEryoNlZnAj6r-9GSwLPg,Kathy,204,2009-09-22 15:03:18,257,51,112,17,3.75,5,3,1,0,1,5,5,6,6,3,2
15387,5IaHGddT0RLq1-S5LbP1iw,Colleen,368,2011-03-12 20:57:25,773,128,575,29,4.14,29,2,1,0,0,12,13,26,26,24,0
15428,S5gjc86AhOZPWcD0czN5IA,Nick,215,2010-07-04 17:26:19,547,219,275,14,3.61,26,3,0,0,0,10,35,48,48,19,7
15434,ahdQ8RWsr76SISCEPtQrbg,Phanna,91,2010-07-23 19:10:23,134,15,52,4,3.53,6,0,0,0,0,1,2,5,5,0,1
15439,TMvOxVVqCGAcBQOYoigiMQ,Teresa,148,2010-06-27 16:26:24,224,109,82,9,3.79,6,3,0,1,0,7,6,13,13,9,0
15442,SA-WWbovSbb48q08_pH7bA,Shashank,19,2011-02-17 18:20:01,6,1,5,1,3.67,0,0,0,0,0,0,1,0,0,1,0
15448,Il9EB1SLBALhvp7GOVMokw,Rich,747,2008-07-10 03:09:56,894,293,386,43,3.92,12,6,3,1,1,17,15,27,27,31,1
15478,4Z42Z67ff3nTcuZtHf5Nig,Adam,27,2009-01-23 15:51:19,30,4,4,0,3.07,0,0,0,0,0,0,1,0,0,0,0
15484,Ytpf1Wmp2BL_2DSUn5WRhg,Colleen,62,2008-01-03 00:44:40,201,29,136,4,3.84,6,2,0,0,0,3,2,9,9,1,0
15486,Nr4vKfdhXCWHR-_aONNspw,LeeAnna,123,2011-07-12 19:25:25,382,143,272,19,4.58,38,1,0,1,0,11,10,41,41,37,9
15499,ernLw9Zmi4f_vewWMD34GQ,Terry,431,2011-11-18 14:47:24,757,175,451,39,4.06,52,28,4,0,0,53,96,88,88,45,11
15529,qX9rK32qy5hiYo9EPPJftw,Pourio,539,2009-08-05 07:00:24,751,497,215,36,3.31,8,8,0,0,1,15,14,10,10,11,0
15534,W3o61WWDdvFXc0LURM1L7g,Amit,946,2007-02-02 05:03:51,517,112,190,16,3.76,3,5,0,0,1,13,11,7,7,4,0
15537,3AyA0TJbUfSgalNvVsbCCQ,Chrissy,45,2012-05-30 23:43:01,78,20,24,1,4.29,1,0,0,0,0,0,1,0,0,2,0
15547,avMOc3M3kNNapHJf9S6PjA,Conrad,39,2007-11-19 04:10:01,80,18,33,5,3.58,0,5,0,0,0,7,3,2,2,4,2
15551,5aVByErCyBwi-cnx_iEJmg,Jake,379,2007-01-21 18:07:24,617,291,296,17,3.31,6,7,2,0,1,13,4,4,4,2,0
15561,5RLRdjvwUd6qQFHYxG8EBg,Jessica,205,2009-09-05 09:48:08,356,83,148,24,4.39,6,5,0,0,0,12,4,12,12,9,2
15564,3RuPbLjp9EDWlb1eTiNYsw,Marci,436,2012-10-27 05:52:03,562,164,376,21,3.77,24,1,2,1,1,25,40,50,50,30,1
15600,2Fv1nvYF6TeTSDnr-YJ97Q,Ed,8,2011-05-09 13:35:34,17,17,1,6,4.13,0,0,0,0,0,0,0,0,0,0,0
15610,9zaxYCELVIkl0TRY0-HlOg,Lauren,34,2009-12-24 01:28:45,24,1,7,2,4.16,0,0,0,0,0,1,1,0,0,0,0
15626,9O4EBHsuYUN9vYahsRqMeg,Sarah,59,2009-07-17 13:38:59,88,24,26,3,4.23,0,1,0,0,0,2,0,1,1,0,0
15648,PKHjotBgOEaQ3d5VSGR71Q,Jen,366,2012-09-22 21:28:19,703,180,194,23,3.74,12,3,0,0,1,18,22,28,28,22,0
15674,TI_JjHx_Qao1WZgFtfojfw,Jess,46,2010-11-13 16:20:06,77,19,13,0,3.98,0,0,0,0,0,5,1,1,1,1,0
15683,OHrl1xyCGSFp5lGSP2-6kg,Juicebomb,39,2006-09-17 02:09:20,126,50,73,3,3.74,0,4,0,0,0,3,1,1,1,1,0
15684,BlLJmseYoL6iRKTfty5sTw,Seth,42,2006-05-15 15:24:00,66,54,47,6,3.93,0,4,0,0,1,2,0,2,2,2,0
15733,ExIkDUqoBUCr6uP6nxFuTA,Lissa,72,2010-08-08 19:07:53,69,23,11,0,3.41,0,0,0,0,0,1,2,0,0,0,0
15742,LuiPcutnk5jQsx549TFTww,Brook,28,2010-02-12 17:39:53,74,59,39,3,4.2,4,1,0,0,0,2,5,8,8,3,0
15762,O9BlkcD5vu5ELZgvMuDCSQ,Kymberly,20,2011-10-16 00:30:53,34,4,6,1,4.13,0,0,0,0,0,1,1,0,0,1,0
15779,zQTEbn5nWGPypxOf2uRPmg,Katie,1766,2011-11-05 03:48:58,9718,2378,7594,192,4.21,91,16,7,8,0,138,597,285,285,78,223
15806,WlvjH10oIJgpRIAq-XYw2w,Rebecca,43,2008-12-03 18:41:56,100,33,43,6,3.72,2,2,0,1,0,1,3,1,1,0,0
15815,cRij9215tfbhiLdHmcdUWg,Jason,462,2008-11-20 12:59:37,1159,368,759,37,4.02,31,7,3,0,0,44,73,91,91,58,10
15816,8Exu2yRDNWoMo00qWipGPg,Jacci,12,2010-12-09 03:25:33,8,2,6,0,3.67,0,1,0,0,0,0,0,0,0,1,0
15832,Zp1o52IRl92dunmsfiT96g,Shannon,354,2011-07-03 20:11:27,502,116,153,15,3.92,12,3,5,0,0,12,12,12,12,8,0
15833,oHu-7LLg89xkAwGK0s8Hng,Richard,42,2008-08-26 20:01:44,128,16,19,1,4.49,0,0,0,0,0,0,1,1,1,0,0
15838,WDfTxn2_9qnnRBiWTgxPlA,Marcus,23,2011-04-22 13:18:57,27,14,11,1,4.48,0,1,0,0,0,1,1,2,2,1,0
15850,Mub2IDViy1Nx6ObbyMPF4w,max,16,2008-11-15 18:42:42,11,7,10,4,3.71,1,2,0,0,0,3,0,0,0,1,0
15863,fV4Y0rKuJaahlNfjCH3vfw,Less,244,2009-08-18 09:25:52,521,264,144,16,3.52,5,0,0,0,2,11,13,4,4,15,1
15868,8EZUJAK9DJTESgkzx74l_w,Kas,199,2008-09-30 22:20:26,260,85,136,11,3.91,28,7,1,0,0,26,29,40,40,18,6
15869,bComvdIjIa2bHytl1F7Dww,aaron,2,2008-10-07 01:10:51,7,1,8,1,4.5,2,1,0,0,0,0,0,0,0,1,0
15883,TzA7k5SV5SsSVvwWcHc7nw,Tim,9,2011-08-04 00:25:48,14,0,0,0,4.44,0,0,0,0,0,0,1,0,0,0,0
15894,S-P2haI61umZRkGPCWrqfA,Jennifer,381,2008-03-13 00:01:37,588,94,266,21,4.59,6,8,3,1,0,7,14,17,17,7,3
15923,wo-LvQxKQGV_s9ESqioQ-g,Daria,193,2008-09-17 02:31:06,455,90,107,4,3.79,2,0,0,0,0,3,4,7,7,4,1
15926,Um5bfs5DH6eizgjH3xZsvg,Dianna,3322,2011-12-05 05:09:41,10382,4927,8225,203,3.84,205,19,10,5,0,143,122,209,209,218,131
15938,PlWN_4cIqYfjT8CkS6aWRg,Emily,259,2011-07-14 18:49:17,220,88,134,8,4.5600000000000005,5,2,1,1,0,11,9,5,5,8,4
15944,u1gUbwyeBe8mtV97hZyImg,Leah,375,2010-08-31 21:24:51,734,162,357,39,4.03,5,1,0,1,0,21,16,5,5,2,9
15947,zJmk6o7QtpghNzNmCdDfDg,John,121,2011-11-15 02:50:19,185,53,101,3,3.62,4,1,1,0,0,6,14,14,14,7,2
15950,_ljIoh025OGAvWz_Kvq6EQ,Rachel,207,2012-06-10 16:32:12,416,166,169,15,4.35,18,8,0,4,0,3,16,14,14,29,1
15957,t5mwQs2wfteOweVP3DKI5A,Fritz,144,2012-05-23 13:58:49,170,40,63,4,3.9,4,0,2,0,0,4,4,7,7,10,2
15959,EY1zLv0P5D1eq7tkurbb-A,Ken,48,2007-10-05 09:09:54,105,12,18,1,3.38,0,0,0,0,0,1,0,0,0,1,0
15962,7NGeaZWBgxlPLzPOu3HX5w,Andrea,42,2011-01-28 05:23:18,41,2,12,1,4.07,0,0,0,0,0,2,0,0,0,0,0
15972,1a7CQbfK1CRx1-NTbCat5w,Jason,73,2009-02-16 23:47:18,105,27,36,4,3.69,0,0,0,0,0,2,1,6,6,3,5
15992,SZq4WeQXRFkU5JtesPjVkg,David,571,2010-04-15 19:03:24,384,135,116,23,3.84,5,3,2,0,0,9,4,7,7,1,1
15996,1V0pFkhxVCRKENq4Fmi7fg,Donald,8,2010-04-21 11:23:21,15,1,1,1,4.78,0,0,0,0,0,0,0,0,0,0,0
16007,jK_SY5ciS1IL82Cf3Ed1_w,James,378,2007-07-08 18:13:14,1254,700,291,31,2.44,2,7,0,0,0,31,15,10,10,10,0
16013,iJiWgNrcQMCKkgUaoYOe0A,Ben,277,2010-06-15 22:51:12,282,81,78,22,3.18,5,2,2,0,1,12,19,10,10,5,2
16019,Y_Aj3fX2JlJh9glH5LX6VA,Molly,378,2008-09-05 18:39:56,1212,554,632,47,3.77,90,10,2,2,21,94,123,92,92,64,6
16028,Qcv5E2aN6K1OOahgNg_MJw,TD,12,2008-09-16 15:26:36,20,18,10,0,3.75,0,0,0,0,0,0,1,1,1,0,0
16065,Vs2IwxEAiGFXgNqcbnFqeQ,Val,93,2011-11-05 13:54:03,74,9,21,5,3.99,1,3,0,0,0,5,3,3,3,0,1
16071,MJVX82yh27SFQz7eqO8muw,Lulu,127,2011-01-04 04:00:09,219,105,157,10,4.08,7,2,1,2,0,3,5,7,7,7,3
16079,ulRdB25JWcztx_n6N67yog,John,14,2009-06-01 18:49:46,71,64,31,4,3.21,0,2,0,1,0,1,1,3,3,0,0
16085,BzVbyuMceUf-plTz3z3iYg,Audrey,393,2012-04-28 22:51:42,812,178,623,51,4.01,33,5,0,13,0,13,35,56,56,45,3
16115,nFqirXVrD9cykRoCekmOHg,Chuck,141,2009-06-26 08:37:02,230,49,83,13,3.85,7,2,0,0,0,8,13,11,11,5,0
16120,Oq32Gfr7a55ZuAdCl8w8oQ,Fr,67,2011-02-25 03:23:55,50,12,7,3,2.93,0,0,0,0,0,1,1,0,0,0,0
16128,0QAA-pBx8GUKDfNTFMilGg,April,43,2011-02-03 11:02:08,24,2,4,3,4.02,0,0,0,0,0,1,2,0,0,0,0
16165,vffKQc_WQMYFGY4JS5VAOw,michelle,1191,2005-04-26 22:37:47,3050,624,1640,68,3.9,43,6,3,0,0,46,39,61,61,79,14
16189,RVZydpTcTS34AWa5oYauZA,Arin,52,2012-04-06 02:05:48,158,31,6,0,3.37,0,0,0,0,0,2,1,0,0,0,0
16193,DxLeV9DjaiKwcbvYFvHv-A,Josh,484,2012-02-21 21:45:16,1184,421,855,38,4.18,32,1,1,0,0,32,89,102,102,72,36
16195,5G99w_BoWXIpsFYrueZhow,Reya,145,2010-08-11 14:59:41,165,57,55,4,3.9,2,1,0,0,0,2,4,2,2,1,0
16203,e-9950M0vCcSnAe1m2rCOQ,Melissa,5,2009-09-03 04:12:17,6,1,2,1,3.38,0,0,0,0,0,0,0,0,0,0,0
16207,TLcUXi2bn6v4hdB8X-M73w,Russ,274,2007-01-21 21:33:58,381,301,217,12,3.44,5,6,1,1,1,10,6,6,6,6,1
16214,VG-toQE2YcjDlmgvLni2ew,Darrin,351,2008-02-25 06:53:21,606,93,257,14,3.42,2,1,1,0,0,1,8,7,7,1,1
16218,ZNiZJIjV05zLWnb9OA9yJA,Melissa,29,2012-02-22 20:12:37,19,3,11,3,3.62,1,2,1,0,0,2,3,3,3,0,1
16221,TT0b9a0e8kWwpC8aP0Up9Q,Lashona,345,2010-08-07 14:27:20,493,134,162,23,3.98,21,7,2,2,0,37,36,25,25,12,9
16237,vn_fqAFjGbVCYUyJKtRfOQ,Alishah,108,2011-01-12 20:15:27,160,29,30,2,3.85,1,1,2,0,0,1,2,2,2,0,1
16247,xfkwKJdPZ2Sp6OgoHEB-AQ,Adrienne,33,2010-08-08 21:05:50,41,15,9,1,3.47,0,0,0,0,0,1,0,1,1,0,0
16258,SXZGkFtsAZ_nJvZggojkZw,Jen,50,2011-02-27 20:53:34,55,25,20,1,4.12,0,0,0,1,0,0,2,2,2,2,0
16268,RkwrGNEn9dspPTpphE4o2w,Sue,438,2010-01-21 17:48:49,484,119,208,14,4.07,1,6,0,2,0,22,14,12,12,5,12
16273,-aAgfEUH4UoFDRXZCfJSUA,Matt,622,2006-10-11 21:55:54,644,182,214,21,3.8,5,7,0,2,0,20,33,25,25,16,2
16283,kz6Yly92QCFaBzT94AUvdQ,Ted,35,2011-01-01 21:57:27,13,3,2,0,4.05,0,1,0,0,0,0,0,1,1,0,0
16291,FXW16a1QddonpF-h3NtxPg,Christian,442,2009-02-11 01:36:31,1412,566,772,42,3.41,81,4,1,0,0,121,128,157,157,51,15
16302,ic8nO152kbB8OxCr3ApEaA,Diana,43,2012-07-20 22:17:33,86,23,25,2,3.93,5,0,0,0,0,2,4,6,6,10,0
16304,lNE27mkxkzt5GcFi2cBU4A,Nora,73,2008-06-19 02:38:17,170,49,89,6,3.91,5,2,0,1,0,4,2,11,11,1,0
16311,KDTd7uJXk6wn8j1deA5AmA,Wendy,57,2009-11-12 21:06:26,59,13,13,4,3.67,0,0,1,0,0,4,0,0,0,1,0
16316,k6oevai17Vjygq7ZW1hpyA,Tracey,15,2008-07-25 15:37:59,21,11,6,0,3.05,0,1,0,0,0,2,0,0,0,0,0
16324,LSo2XydEi3LNaIhgplhdFQ,Nekeia,13,2011-05-06 22:33:44,14,0,6,2,5.0,0,0,0,0,0,0,0,0,0,0,0
16335,yrAX4ikJePO6eSN6_g6buw,L. A. ,82,2009-10-12 17:59:25,56,7,18,7,3.72,1,0,0,0,0,2,1,1,1,2,2
16358,W7Kz2IfXL6aVsFXnFWSwrg,Sue,1060,2011-11-14 16:16:08,3036,999,1561,111,3.84,85,17,5,1,4,88,141,120,120,106,22
16367,ECg8Aq76gnxoxiA5QgJ9iA,Jack,46,2011-03-12 03:20:37,40,9,15,1,3.27,0,0,0,0,0,0,0,1,1,0,0
16380,ZCc85CfjFaw5v24yoT1koA,Bryan,525,2011-02-22 23:19:17,378,81,120,13,3.66,1,5,0,0,0,7,6,5,5,3,0
16391,xbJlnyVkxuQq5jsG9lHuoQ,Brian,342,2008-08-08 19:23:02,568,267,350,25,3.67,3,4,0,0,0,14,10,13,13,14,6
16406,_f_QFxZ4F3Xn82EfIrpeUQ,Lance,29,2010-12-09 02:50:09,29,2,4,1,3.87,0,0,0,0,0,0,1,0,0,2,0
16412,vTRLuYvJ5TkKZ_44VLaiHA,Connie,49,2010-02-26 17:32:41,65,23,28,2,3.29,0,1,0,0,0,0,1,0,0,0,0
16419,qehBeQFtGL-_W7JPP6nMKw,Donnie,37,2009-07-27 16:18:02,22,13,7,2,3.66,0,1,0,0,0,0,1,1,1,0,0
16432,7Ju_RQfW5vEo1ExxauUQMg,Ray,24,2010-07-15 16:49:59,20,3,7,0,4.35,0,0,0,0,0,3,1,0,0,0,0
16491,s7bm_BrPCj-gIskhB29w3g,Theresa,13,2008-12-12 02:22:03,13,1,3,1,4.08,0,0,0,0,0,0,0,0,0,0,0
16496,FEI0XkOrUHufSW_rfOTPAA,Steven,25,2010-05-04 12:57:07,15,8,2,0,3.67,1,0,0,0,0,0,1,1,1,0,0
16499,TEPd-wezKjJuUbxTLeKzAw,Tom,162,2008-10-15 16:44:22,362,167,192,7,3.99,7,1,0,0,4,9,18,11,11,6,3
16502,enTZ3VrM5fT8vC33FDQwBQ,Adam,199,2011-10-29 20:59:59,91,19,41,1,4.4,0,0,0,0,0,1,0,1,1,1,0
16505,cmCNYsCybXczlSL9O7uiRQ,Norra,113,2011-02-03 02:01:58,126,32,63,16,3.81,4,10,0,0,0,5,16,17,17,2,1
16526,y_jl-bErj1mnb4KF04F74Q,Vicki,1939,2008-09-22 01:07:08,995,154,582,20,4.22,1,1,0,0,0,8,13,12,12,5,3
16531,dnlX6nfEnVtoe0zdJjaMwA,Sharina,398,2010-11-23 22:19:47,604,135,176,28,3.75,18,2,0,0,0,20,28,33,33,9,2
16532,15Bh-wFOQx9LCVdQo1m_aQ,Elizabeth,176,2010-12-13 01:54:07,173,45,53,8,4.04,1,0,0,1,0,6,5,5,5,9,8
16549,gKsC2S3A6S649Tgg8kd0Qw,Heather,156,2007-08-27 12:15:00,427,93,310,7,3.81,25,10,2,5,0,28,28,63,63,9,0
16554,GQJn9zM03Yt3ynn2VvKltw,John,117,2008-12-24 19:24:21,159,24,65,9,3.66,1,1,0,0,0,5,3,5,5,1,0
16559,9nHc4JgKY6Mhg3HKkzPQFA,Brian,11,2009-10-17 03:01:28,10,1,3,1,3.09,0,0,0,0,0,0,0,0,0,0,0
16598,RoWVC_rLZ85fFJrw6G8urg,Madeleine,84,2008-09-16 16:14:55,328,135,228,9,4.09,18,2,0,1,2,6,5,9,9,3,1
16600,RYeY30XyjFQ7B4sITi8iag,Sondra,94,2012-06-03 20:48:46,223,38,166,8,4.66,33,5,0,1,0,19,21,21,21,13,10
16611,KA6qEMS_bGFaGWgIGLYViw,Kati,167,2009-05-18 16:55:04,167,81,58,1,3.8,2,2,0,0,1,1,3,8,8,1,1
16621,bkmWg8hs_0xSLxAgMDqw4A,Daniel,22,2009-08-17 19:02:53,23,5,1,1,2.4,0,0,0,0,0,0,1,0,0,0,0
16624,fdvv2RWhRKHFFxRS9KhycQ,Carleen,79,2010-02-20 17:00:38,152,21,56,8,4.3,3,1,0,1,1,4,10,4,4,1,3
16637,TSS3SRBqqHZNOGU9nEdC9w,Monica,104,2013-02-10 05:52:33,126,25,55,8,3.62,1,1,1,0,0,2,9,5,5,1,3
16640,itNmlKV9HmqRo6nGfPZ0hw,Amit,227,2005-06-09 19:57:08,401,135,257,16,4.03,8,5,0,0,1,25,17,31,31,15,0
16642,ZKjMO6oUDPMjl6Bg-yMiMg,Vanessa,138,2010-07-17 17:29:04,206,20,63,14,3.67,3,2,0,4,0,4,9,9,9,6,3
16645,ButO6G4QnUsocTOMg1EzxA,Kim,165,2010-05-05 16:01:07,126,78,42,8,3.7,1,0,2,2,0,2,2,3,3,1,0
16681,cO0sWpjjSyIqngT2U4oZ9Q,Brian,419,2008-09-02 15:42:27,1031,280,290,27,3.19,16,6,1,1,0,49,58,41,41,17,2
16688,LkF7PSN1Kc8pYgYavpvz_w,Rita,175,2012-04-14 19:36:45,369,118,158,16,3.7,14,2,1,3,0,5,12,18,18,7,0
16704,S9F9422xLX5ZGyUim54huA,Gloria,116,2012-02-28 03:40:59,194,67,82,9,3.5,5,2,0,0,0,4,0,16,16,10,0
16707,wYXDlOJut0PcerXj0SEstw,New,32,2011-05-18 14:11:00,114,20,10,1,2.58,0,0,0,0,0,0,3,1,1,0,1
16716,XD_SGGnLRR-NmdI_jjobZg,Michael,607,2011-10-26 12:55:21,1823,392,969,36,4.0,9,6,3,0,0,44,34,69,69,48,17
16755,vUwz788LGszSBmebWjjmPg,Rachael,8,2007-03-09 17:37:57,13,1,0,1,3.56,0,0,1,0,0,0,0,0,0,0,0
16771,HIAU0RTaRUwJEoJUJ3rAIw,Dennis,385,2009-01-28 02:15:50,358,81,85,9,3.27,4,0,1,0,0,12,5,9,9,4,0
16780,V5fiuYJb_TxMYANgHiICJQ,Patty,30,2009-08-04 23:16:17,45,36,34,4,3.5,0,1,0,0,0,1,1,2,2,2,0
16793,aAXreL6tfpfX6eEN6K727w,Larisa,30,2012-09-20 16:30:36,21,3,7,2,4.55,0,0,0,0,0,0,0,0,0,0,0
16801,rNQdBHfXQ7hPflHAwVSqiw,Jess,6,2010-01-31 03:38:43,3,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0
16803,EnYowrgAupTyWzqbbi3PhA,Jasmine,145,2012-09-05 12:59:43,199,14,75,15,3.73,1,0,1,0,0,11,5,3,3,4,9
16806,E2POu4WF99VvKdzYPL0Akg,Kelly,31,2009-12-31 16:04:25,77,35,16,2,3.19,3,0,0,0,0,2,1,0,0,0,0
16835,lS5oUY9v902x90yBk7YMGQ,Jacqueline,22,2010-02-28 22:12:53,47,25,31,7,4.04,1,1,0,0,0,3,1,1,1,2,0
16839,lr1V74MYgHJY8q4W7i9jIw,J,46,2011-07-17 02:10:41,44,6,18,3,3.96,0,0,0,0,0,2,1,3,3,0,1
16853,LvD0yJzNd0v7iKb9HyXuxA,Anthony,48,2009-12-23 16:25:35,32,8,11,1,3.67,0,0,0,0,0,2,1,4,4,0,0
16856,EWqL48JnT7YWP5YNfWjKrg,Victoria,43,2010-07-22 23:33:07,27,3,9,0,3.55,0,0,0,0,0,0,0,0,0,0,0
16868,MkXDu9bVpaUq3QL6_RU9yg,Rick,57,2011-11-01 01:07:37,92,10,15,3,4.42,0,1,0,0,0,2,1,0,0,2,2
16897,bp2s6DfYW6CrlEOt5zlZOg,Rick,71,2010-01-16 02:31:36,39,11,9,1,4.04,0,1,0,0,0,2,1,0,0,0,0
16917,quBsSLsr7J5XiA7mydCvcg,M,180,2006-03-30 20:12:59,144,50,57,8,3.43,5,4,0,0,0,7,2,7,7,1,0
16920,dn8c0gSvYdVpnhQrDr17Cg,Cara,78,2007-02-10 10:56:13,154,45,62,0,3.63,8,2,0,0,0,7,8,9,9,12,0
16921,F7oysaWequH7GB5f_pY2iA,Douglas,261,2007-01-28 15:56:27,541,90,187,6,4.13,3,2,0,0,0,21,61,26,26,3,1
16942,W81s2EdHHq4_CYDJNqhgRg,Tiffany,175,2010-07-08 02:21:15,314,64,107,23,4.05,10,1,1,0,0,15,14,16,16,9,1
16977,w0U77lliasY0IkPi-Vk-KQ,A.B.,67,2010-09-19 08:22:33,79,14,14,3,3.69,0,1,1,0,0,9,17,4,4,3,1
16983,6IzFtlvknFmdCQnMDAqbvw,Stuart,25,2010-08-22 20:53:39,35,54,18,1,4.46,1,0,0,0,0,0,2,0,0,0,0
16998,RMjEYnvC-fhu8RoopYj2Ig,Krifka,155,2011-09-26 14:29:30,192,39,74,5,3.82,2,1,2,0,0,2,4,5,5,1,0
17008,zIkwNOs3kYnBfOD8w-HDkA,Michelle,43,2007-07-29 18:48:53,107,58,58,6,4.09,4,0,0,0,0,5,1,3,3,3,0
17011,E_EB5khTIBNCnWueA3Ex-A,Stephen,571,2010-01-07 18:06:34,1044,328,479,43,4.0,19,9,1,1,0,30,38,32,32,28,4
17014,QYa33kf4-ZCOC5yJGRhiBQ,Sandy,325,2010-05-20 20:18:20,1032,167,270,20,3.01,4,4,2,0,0,21,23,15,15,22,0
17023,kX8VElJe7Pj-cJ-yZAzHdA,Alexander,117,2010-05-10 19:06:34,208,149,143,9,3.94,12,3,1,0,0,5,10,9,9,3,0
17033,1YitSIu4R1A7Gjfazn3pNg,Samantha,143,2011-12-06 18:22:27,131,19,37,6,3.63,6,0,0,1,0,4,2,5,5,1,2
17040,8EneFRH-5HEmfQ9AOJwc-Q,William Thomas,211,2008-10-13 03:32:53,176,42,43,1,3.6,0,0,0,0,0,9,4,0,0,0,0
17043,WZjrnw_XnpYKdkEUZjDnlA,Gai,60,2012-06-24 22:24:36,114,41,25,11,3.5,16,4,4,0,0,13,13,15,15,3,1
17052,oC7bEpqUCWkgtUDoeayrAg,Norm,123,2010-09-03 15:41:03,108,58,21,2,3.08,0,0,0,0,0,5,2,1,1,0,0
17056,0BU9zdfkmwJ6jJverJGZzQ,David,21,2009-12-15 09:15:44,35,4,5,2,3.24,4,1,0,0,0,2,0,1,1,2,0
17071,adi9O9g6X9ksr0wxFG9Yrw,Ashley,175,2011-03-04 16:39:13,240,37,76,10,3.9,12,4,1,0,0,12,9,15,15,5,1
